Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://schema.org/Organization,Organization,http://schema.org/leiCode,leiCode,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/address,address,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/slogan,slogan,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/numberOfEmployees,numberOfEmployees,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/dateCreated,dateCreated,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/logo,logo,http://www.w3.org/2001/XMLSchema#anyURI,anyURI,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/duns,duns,http://www.w3.org/2001/XMLSchema#string,string,datatype,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://yago-knowledge.org/resource/ownedBy,ownedBy,http://schema.org/Organization,Organization,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Organization,Organization,http://yago-knowledge.org/resource/ownedBy,ownedBy,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Organization,Organization,http://schema.org/founder,founder,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Organization,Organization,http://schema.org/location,location,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/PerformingGroup,PerformingGroup,http://schema.org/knowsLanguage,knowsLanguage,http://schema.org/Language,Language,object,http://schema.org/
YAGO,http://schema.org/PerformingGroup,PerformingGroup,http://yago-knowledge.org/resource/notableWork,notableWork,http://schema.org/CreativeWork,CreativeWork,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/PerformingGroup,PerformingGroup,http://yago-knowledge.org/resource/director,director,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
